City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ust-Kulom,RU,61.6864,53.6902,53.06,72,76,13.85,broken clouds
80,Tuatapere,NZ,-46.1333,167.6833,49.35,93,100,0.83,overcast clouds
81,Drammen,NO,59.7439,10.2045,43.9,73,5,1.45,clear sky
82,Rock Sound,BS,24.9,-76.2,84.07,73,0,17.07,clear sky
83,Bredasdorp,ZA,-34.5322,20.0403,50.86,91,0,1.39,clear sky
84,Kudat,MY,6.8837,116.8477,77.29,94,20,1.14,light rain
85,Fort Morgan,US,40.2503,-103.8,94.42,9,0,4.61,clear sky
86,Husavik,IS,66.0449,-17.3389,52.75,82,64,2.95,broken clouds
87,Mahebourg,MU,-20.4081,57.7,71.26,88,40,11.5,scattered clouds
88,Makakilo City,US,21.3469,-158.0858,84.56,55,20,16.11,few clouds
89,Salazie,RE,-21.0273,55.539,64.06,97,100,16.11,moderate rain
90,Kapaa,US,22.0752,-159.319,84.18,68,40,12.66,scattered clouds
91,Ixtapa,MX,20.7,-105.2,83.43,79,75,10.36,broken clouds
92,Marystown,CA,47.1666,-55.1483,56.86,100,31,1.01,scattered clouds
93,Barrow,US,71.2906,-156.7887,37.42,87,20,6.91,few clouds
94,Saint-Joseph,RE,-21.3667,55.6167,68.38,84,34,13.56,light rain
95,Rawson,AR,-43.3002,-65.1023,48.49,93,100,8.05,light rain
96,Coquimbo,CL,-29.9533,-71.3436,60.53,55,0,13.8,clear sky
97,Namibe,AO,-15.1961,12.1522,63.0,90,11,2.24,few clouds
98,Flinders,AU,-34.5833,150.8552,62.38,84,100,5.01,overcast clouds
99,Golden Gate,US,26.1879,-81.6951,86.99,100,100,3.44,light rain
100,Atuona,PF,-9.8,-139.0333,76.21,77,37,20.92,light rain
101,Vestmannaeyjar,IS,63.4427,-20.2734,52.41,93,100,9.8,overcast clouds
102,Cap Malheureux,MU,-19.9842,57.6142,71.47,74,5,7.0,clear sky
103,Tugdan,PH,12.3134,122.0853,79.27,76,100,2.71,overcast clouds
104,Sovetskiy,RU,61.3614,63.5842,54.32,85,21,8.59,few clouds
105,Katsuura,JP,35.1333,140.3,66.76,85,100,18.45,overcast clouds
106,Lebu,CL,-37.6167,-73.65,49.69,68,53,9.37,broken clouds
107,Palmer,US,42.1584,-72.3287,74.91,75,75,8.05,broken clouds
108,Kerema,PG,-7.9631,145.7785,77.99,84,46,7.38,scattered clouds
109,Matara,LK,5.9485,80.5353,77.2,89,19,9.06,few clouds
110,Adrar,MR,20.5022,-10.0711,96.51,16,100,8.7,overcast clouds
111,Vestmanna,FO,62.1564,-7.1664,50.92,93,100,10.36,light rain
112,Okhotsk,RU,59.3833,143.3,37.71,63,24,13.44,few clouds
113,Onega,RU,63.9061,38.1404,47.88,91,100,14.14,overcast clouds
114,Andros Town,BS,24.7,-77.7667,84.78,70,1,13.82,clear sky
115,Manokwari,ID,-0.8667,134.0833,77.4,81,100,0.65,overcast clouds
116,Hervey Bay,AU,-25.2986,152.8535,67.98,74,33,8.28,scattered clouds
117,Teguldet,RU,57.3064,88.1667,39.02,95,94,3.11,overcast clouds
118,Mandapam,IN,9.2833,79.1167,82.89,77,55,12.33,broken clouds
119,Chokurdakh,RU,70.6333,147.9167,31.66,93,100,14.43,light snow
120,Valparaiso,CL,-33.0393,-71.6273,59.23,97,40,16.11,scattered clouds
121,Malakal,SS,9.5334,31.6605,73.72,86,94,1.66,overcast clouds
122,Saint-Augustin,CA,51.226,-58.6502,56.61,52,0,8.03,clear sky
123,Lebork,PL,54.5392,17.7501,51.93,95,69,5.03,broken clouds
124,Kaeo,NZ,-35.1,173.7833,59.32,97,40,5.86,scattered clouds
125,Jamestown,US,42.097,-79.2353,75.02,48,0,11.5,clear sky
126,Plettenberg Bay,ZA,-34.0527,23.3716,55.69,78,0,6.13,clear sky
127,Ahipara,NZ,-35.1667,173.1667,60.06,87,8,4.61,clear sky
128,Toledo,ES,39.8333,-4.0,78.31,48,0,1.77,clear sky
129,Namatanai,PG,-3.6667,152.4333,77.95,85,100,5.41,moderate rain
130,Kloulklubed,PW,7.0419,134.2556,75.7,71,100,5.26,overcast clouds
131,Ilulissat,GL,69.2167,-51.1,37.42,93,75,8.05,light intensity drizzle rain
132,Faya,SA,18.3851,42.4509,64.51,54,96,2.98,overcast clouds
133,Nordby,DK,55.446,8.3979,49.05,87,5,2.3,clear sky
134,Bara,NG,10.3744,10.7288,74.64,87,13,3.6,few clouds
135,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,69,0,10.36,clear sky
136,Emerald,AU,-23.5333,148.1667,67.33,86,84,16.87,broken clouds
137,Cardross,GB,55.9667,-4.6333,58.55,76,75,5.75,broken clouds
138,Yellowknife,CA,62.456,-114.3525,55.92,50,20,8.05,few clouds
139,Ostrovnoy,RU,68.0531,39.5131,44.6,92,100,25.48,light rain
140,Morondava,MG,-20.2833,44.2833,73.2,75,0,10.78,clear sky
141,Constitucion,CL,-35.3333,-72.4167,51.82,63,3,11.97,clear sky
142,Las Matas De Farfan,DO,18.8731,-71.5166,80.44,77,100,3.65,overcast clouds
143,Nikolskoye,RU,59.7035,30.7861,49.91,95,74,3.42,broken clouds
144,Atambua,ID,-9.1061,124.8925,72.39,88,36,4.12,scattered clouds
145,Kapit,MY,2.0167,112.9333,70.84,99,71,1.59,light rain
146,Touros,BR,-5.1989,-35.4608,76.8,75,23,13.91,few clouds
147,Hunterville,NZ,-39.9333,175.5667,54.55,78,57,1.32,broken clouds
148,Kieta,PG,-6.2167,155.6333,79.02,84,99,3.8,light rain
149,Talnakh,RU,69.4865,88.3972,27.21,73,100,9.06,overcast clouds
150,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.78,81,75,4.47,broken clouds
151,Codrington,AU,-38.2667,141.9667,50.97,93,100,7.54,light rain
152,Vysokogornyy,RU,50.1167,139.15,25.95,96,23,4.25,few clouds
153,Hilo,US,19.7297,-155.09,84.27,57,0,5.99,clear sky
154,Faanui,PF,-16.4833,-151.75,77.86,75,9,16.13,clear sky
155,Narsaq,GL,60.9167,-46.05,44.82,81,13,2.48,few clouds
156,Hualmay,PE,-11.0964,-77.6139,64.6,74,23,13.47,few clouds
157,Pevek,RU,69.7008,170.3133,37.11,61,82,13.2,broken clouds
158,Longyearbyen,SJ,78.2186,15.6401,35.44,75,75,21.85,broken clouds
159,Cabo San Lucas,MX,22.8909,-109.9124,85.6,83,100,11.5,overcast clouds
160,Siyabuswa,ZA,-25.1132,29.0445,62.6,83,4,9.93,light rain
161,Conceicao Do Araguaia,BR,-8.2578,-49.2647,95.5,22,21,3.0,few clouds
162,Honningsvag,NO,70.9821,25.9704,42.55,70,75,8.05,light rain
