City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
236,Sioux Lookout,CA,73.47,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
239,Rantauprapat,ID,72.82,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
241,Lompoc,US,80.69,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
244,Matina,CR,84.07,overcast clouds,10.0761,-83.2895,Hospedaje Lawson
249,Hithadhoo,MV,81.52,clear sky,-0.6,73.0833,Scoop Guest House
250,Pandan,PH,77.27,overcast clouds,14.0453,124.1694,Bonifacio Lodge
257,Wuzhou,CN,74.8,broken clouds,23.4833,111.3167,Wuzhou Hostel
259,Uniontown,US,80.11,few clouds,39.9001,-79.7164,Hampton Inn Uniontown
260,Ambilobe,MG,74.3,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
262,Padang,ID,76.42,overcast clouds,-0.9492,100.3543,Mercure Padang
263,Sao Filipe,CV,79.2,scattered clouds,14.8961,-24.4956,Hotel Xaguate
264,Doctor Juan Leon Mallorquin,PY,73.13,overcast clouds,-25.4,-55.2667,Hotel Puma S.A.
265,Rawlins,US,80.49,few clouds,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
268,Sur,OM,82.72,clear sky,22.5667,59.5289,Sur Plaza Hotel
269,Anupgarh,IN,87.67,clear sky,29.1911,73.2086,Sonu bansal
270,Bethel,US,76.66,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
272,Jalu,LY,87.1,clear sky,29.0331,21.5482,صاحبة الفخامة
273,Banjarmasin,ID,73.54,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
275,Tazmalt,DZ,71.13,overcast clouds,36.3868,4.3989,Hôtel Numédia
277,Daman,IN,77.5,broken clouds,20.4167,72.85,Silver Sands Beach Resort
280,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
284,Lamu,KE,75.42,broken clouds,-2.2717,40.902,Lamu House
287,Doctor Phillips,US,89.06,mist,28.4495,-81.4923,Drury Inn & Suites near Universal Orlando Resort™
293,Victoria,HK,84.38,broken clouds,22.2855,114.1577,Mini Central
298,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
300,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
306,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
311,Buala,SB,80.51,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
312,Mawlaik,MM,74.62,broken clouds,23.6333,94.4167,AKZ Guest House
313,Filadelfia,US,82.29,scattered clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
314,Fare,PF,78.22,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
318,Nsanje,MW,80.73,clear sky,-16.92,35.262,Nsanje Discovery Lodge
321,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
322,Nador,MA,73.65,clear sky,35.174,-2.9287,Hôtel La Giralda
323,Akyab,MM,79.3,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
326,Mangaratiba,BR,72.46,broken clouds,-22.9597,-44.0406,Portobello Resort & Safari
327,Komsomolskiy,UZ,70.52,few clouds,40.4272,71.7189,Ikathouse
335,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
337,Laguna,US,77.31,scattered clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
338,Eureka,US,75.74,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
343,Annau,TM,72.9,clear sky,37.8876,58.516,"Гостиница ""Уссат инженер"""
345,Arcata,US,75.74,clear sky,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
346,Port Washington,US,80.62,broken clouds,40.8257,-73.6982,"The Roslyn, Tapestry Collection by Hilton"
352,Mattru,SL,72.64,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
355,Hamilton,US,89.78,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
358,Vao,NC,73.67,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
361,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
364,Oussouye,SN,78.98,light rain,12.485,-16.5469,Auberge du Routard
365,Laguna De Perlas,NI,84.29,broken clouds,12.3429,-83.6712,Hotel Best View
366,Pomezia,IT,70.92,scattered clouds,41.667,12.5052,SHG Hotel Antonella
370,Guerrero Negro,MX,77.25,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
371,Pindiga,NG,72.48,scattered clouds,9.9833,10.9333,Accommodation Center
372,Phibun Mangsahan,TH,73.38,heavy intensity rain,15.2447,105.2291,ซันนี่ รีสอร์ท
